Time resolution is 1 ps
Time = 3175 | serial_in = 1 | Internal stream_in = 00011111 | parity_out = 1
Time = 3185 | serial_in = 1 | Internal stream_in = 00011111 | parity_out = 0
Time = 3195 | serial_in = 1 | Internal stream_in = 00011111 | parity_out = 1
Time = 3200 | serial_in = 0 | Internal stream_in = 00011111 | parity_out = 1
Time = 3205 | serial_in = 0 | Internal stream_in = 00011111 | parity_out = 0
Time = 3210 | serial_in = 0 | Internal stream_in = 00100000 | parity_out = 0
Time = 3240 | serial_in = 1 | Internal stream_in = 00100000 | parity_out = 0
Time = 3245 | serial_in = 1 | Internal stream_in = 00100000 | parity_out = 1
Time = 3250 | serial_in = 0 | Internal stream_in = 00100000 | parity_out = 1
Time = 3305 | serial_in = 0 | Internal stream_in = 00100000 | parity_out = 0
Time = 3310 | serial_in = 0 | Internal stream_in = 00100001 | parity_out = 0
Time = 3340 | serial_in = 1 | Internal stream_in = 00100001 | parity_out = 0
Time = 3345 | serial_in = 1 | Internal stream_in = 00100001 | parity_out = 1
Time = 3350 | serial_in = 0 | Internal stream_in = 00100001 | parity_out = 1
Time = 3390 | serial_in = 1 | Internal stream_in = 00100001 | parity_out = 1
Time = 3395 | serial_in = 1 | Internal stream_in = 00100001 | parity_out = 0
Time = 3400 | serial_in = 0 | Internal stream_in = 00100001 | parity_out = 0
Time = 3410 | serial_in = 0 | Internal stream_in = 00100010 | parity_out = 0
Time = 3440 | serial_in = 1 | Internal stream_in = 00100010 | parity_out = 0
Time = 3445 | serial_in = 1 | Internal stream_in = 00100010 | parity_out = 1
Time = 3450 | serial_in = 0 | Internal stream_in = 00100010 | parity_out = 1
Time = 3480 | serial_in = 1 | Internal stream_in = 00100010 | parity_out = 1
Time = 3485 | serial_in = 1 | Internal stream_in = 00100010 | parity_out = 0
Time = 3490 | serial_in = 0 | Internal stream_in = 00100010 | parity_out = 0
Time = 3510 | serial_in = 0 | Internal stream_in = 00100011 | parity_out = 0
Time = 3540 | serial_in = 1 | Internal stream_in = 00100011 | parity_out = 0
Time = 3545 | serial_in = 1 | Internal stream_in = 00100011 | parity_out = 1
Time = 3550 | serial_in = 0 | Internal stream_in = 00100011 | parity_out = 1
Time = 3580 | serial_in = 1 | Internal stream_in = 00100011 | parity_out = 1
Time = 3585 | serial_in = 1 | Internal stream_in = 00100011 | parity_out = 0
Time = 3595 | serial_in = 1 | Internal stream_in = 00100011 | parity_out = 1
Time = 3600 | serial_in = 0 | Internal stream_in = 00100011 | parity_out = 1
Time = 3605 | serial_in = 0 | Internal stream_in = 00100011 | parity_out = 0
Time = 3610 | serial_in = 0 | Internal stream_in = 00100100 | parity_out = 0
Time = 3640 | serial_in = 1 | Internal stream_in = 00100100 | parity_out = 0
Time = 3645 | serial_in = 1 | Internal stream_in = 00100100 | parity_out = 1
Time = 3650 | serial_in = 0 | Internal stream_in = 00100100 | parity_out = 1
Time = 3670 | serial_in = 1 | Internal stream_in = 00100100 | parity_out = 1
Time = 3675 | serial_in = 1 | Internal stream_in = 00100100 | parity_out = 0
Time = 3680 | serial_in = 0 | Internal stream_in = 00100100 | parity_out = 0
Time = 3710 | serial_in = 0 | Internal stream_in = 00100101 | parity_out = 0
Time = 3740 | serial_in = 1 | Internal stream_in = 00100101 | parity_out = 0
Time = 3745 | serial_in = 1 | Internal stream_in = 00100101 | parity_out = 1
Time = 3750 | serial_in = 0 | Internal stream_in = 00100101 | parity_out = 1
Time = 3770 | serial_in = 1 | Internal stream_in = 00100101 | parity_out = 1
Time = 3775 | serial_in = 1 | Internal stream_in = 00100101 | parity_out = 0
Time = 3780 | serial_in = 0 | Internal stream_in = 00100101 | parity_out = 0
Time = 3790 | serial_in = 1 | Internal stream_in = 00100101 | parity_out = 0
Time = 3795 | serial_in = 1 | Internal stream_in = 00100101 | parity_out = 1
Time = 3800 | serial_in = 0 | Internal stream_in = 00100101 | parity_out = 1
Time = 3805 | serial_in = 0 | Internal stream_in = 00100101 | parity_out = 0
Time = 3810 | serial_in = 0 | Internal stream_in = 00100110 | parity_out = 0
Time = 3840 | serial_in = 1 | Internal stream_in = 00100110 | parity_out = 0
Time = 3845 | serial_in = 1 | Internal stream_in = 00100110 | parity_out = 1
Time = 3850 | serial_in = 0 | Internal stream_in = 00100110 | parity_out = 1
Time = 3870 | serial_in = 1 | Internal stream_in = 00100110 | parity_out = 1
Time = 3875 | serial_in = 1 | Internal stream_in = 00100110 | parity_out = 0
Time = 3885 | serial_in = 1 | Internal stream_in = 00100110 | parity_out = 1
Time = 3890 | serial_in = 0 | Internal stream_in = 00100110 | parity_out = 1
Time = 3905 | serial_in = 0 | Internal stream_in = 00100110 | parity_out = 0
Time = 3910 | serial_in = 0 | Internal stream_in = 00100111 | parity_out = 0
Time = 3940 | serial_in = 1 | Internal stream_in = 00100111 | parity_out = 0
Time = 3945 | serial_in = 1 | Internal stream_in = 00100111 | parity_out = 1
Time = 3950 | serial_in = 0 | Internal stream_in = 00100111 | parity_out = 1
Time = 3970 | serial_in = 1 | Internal stream_in = 00100111 | parity_out = 1
Time = 3975 | serial_in = 1 | Internal stream_in = 00100111 | parity_out = 0
Time = 3985 | serial_in = 1 | Internal stream_in = 00100111 | parity_out = 1
Time = 3995 | serial_in = 1 | Internal stream_in = 00100111 | parity_out = 0
Time = 4000 | serial_in = 0 | Internal stream_in = 00100111 | parity_out = 0
Time = 4010 | serial_in = 0 | Internal stream_in = 00101000 | parity_out = 0
Time = 4040 | serial_in = 1 | Internal stream_in = 00101000 | parity_out = 0
Time = 4045 | serial_in = 1 | Internal stream_in = 00101000 | parity_out = 1
Time = 4050 | serial_in = 0 | Internal stream_in = 00101000 | parity_out = 1
Time = 4060 | serial_in = 1 | Internal stream_in = 00101000 | parity_out = 1
Time = 4065 | serial_in = 1 | Internal stream_in = 00101000 | parity_out = 0
Time = 4070 | serial_in = 0 | Internal stream_in = 00101000 | parity_out = 0
Time = 4110 | serial_in = 0 | Internal stream_in = 00101001 | parity_out = 0
Time = 4140 | serial_in = 1 | Internal stream_in = 00101001 | parity_out = 0
Time = 4145 | serial_in = 1 | Internal stream_in = 00101001 | parity_out = 1
Time = 4150 | serial_in = 0 | Internal stream_in = 00101001 | parity_out = 1
Time = 4160 | serial_in = 1 | Internal stream_in = 00101001 | parity_out = 1
Time = 4165 | serial_in = 1 | Internal stream_in = 00101001 | parity_out = 0
Time = 4170 | serial_in = 0 | Internal stream_in = 00101001 | parity_out = 0
Time = 4190 | serial_in = 1 | Internal stream_in = 00101001 | parity_out = 0
Time = 4195 | serial_in = 1 | Internal stream_in = 00101001 | parity_out = 1
Time = 4200 | serial_in = 0 | Internal stream_in = 00101001 | parity_out = 1
Time = 4205 | serial_in = 0 | Internal stream_in = 00101001 | parity_out = 0
Time = 4210 | serial_in = 0 | Internal stream_in = 00101010 | parity_out = 0
Time = 4240 | serial_in = 1 | Internal stream_in = 00101010 | parity_out = 0
Time = 4245 | serial_in = 1 | Internal stream_in = 00101010 | parity_out = 1
Time = 4250 | serial_in = 0 | Internal stream_in = 00101010 | parity_out = 1
Time = 4260 | serial_in = 1 | Internal stream_in = 00101010 | parity_out = 1
Time = 4265 | serial_in = 1 | Internal stream_in = 00101010 | parity_out = 0
Time = 4270 | serial_in = 0 | Internal stream_in = 00101010 | parity_out = 0
Time = 4280 | serial_in = 1 | Internal stream_in = 00101010 | parity_out = 0
Time = 4285 | serial_in = 1 | Internal stream_in = 00101010 | parity_out = 1
Time = 4290 | serial_in = 0 | Internal stream_in = 00101010 | parity_out = 1
Time = 4305 | serial_in = 0 | Internal stream_in = 00101010 | parity_out = 0
Time = 4310 | serial_in = 0 | Internal stream_in = 00101011 | parity_out = 0
Time = 4340 | serial_in = 1 | Internal stream_in = 00101011 | parity_out = 0
Time = 4345 | serial_in = 1 | Internal stream_in = 00101011 | parity_out = 1
Time = 4350 | serial_in = 0 | Internal stream_in = 00101011 | parity_out = 1
Time = 4360 | serial_in = 1 | Internal stream_in = 00101011 | parity_out = 1
Time = 4365 | serial_in = 1 | Internal stream_in = 00101011 | parity_out = 0
Time = 4370 | serial_in = 0 | Internal stream_in = 00101011 | parity_out = 0
Time = 4380 | serial_in = 1 | Internal stream_in = 00101011 | parity_out = 0
Time = 4385 | serial_in = 1 | Internal stream_in = 00101011 | parity_out = 1
Time = 4395 | serial_in = 1 | Internal stream_in = 00101011 | parity_out = 0
Time = 4400 | serial_in = 0 | Internal stream_in = 00101011 | parity_out = 0
Time = 4410 | serial_in = 0 | Internal stream_in = 00101100 | parity_out = 0
Time = 4440 | serial_in = 1 | Internal stream_in = 00101100 | parity_out = 0
Time = 4445 | serial_in = 1 | Internal stream_in = 00101100 | parity_out = 1
Time = 4450 | serial_in = 0 | Internal stream_in = 00101100 | parity_out = 1
Time = 4460 | serial_in = 1 | Internal stream_in = 00101100 | parity_out = 1
Time = 4465 | serial_in = 1 | Internal stream_in = 00101100 | parity_out = 0
Time = 4475 | serial_in = 1 | Internal stream_in = 00101100 | parity_out = 1
Time = 4480 | serial_in = 0 | Internal stream_in = 00101100 | parity_out = 1
Time = 4505 | serial_in = 0 | Internal stream_in = 00101100 | parity_out = 0
Time = 4510 | serial_in = 0 | Internal stream_in = 00101101 | parity_out = 0
Time = 4540 | serial_in = 1 | Internal stream_in = 00101101 | parity_out = 0
Time = 4545 | serial_in = 1 | Internal stream_in = 00101101 | parity_out = 1
Time = 4550 | serial_in = 0 | Internal stream_in = 00101101 | parity_out = 1
Time = 4560 | serial_in = 1 | Internal stream_in = 00101101 | parity_out = 1
Time = 4565 | serial_in = 1 | Internal stream_in = 00101101 | parity_out = 0
Time = 4575 | serial_in = 1 | Internal stream_in = 00101101 | parity_out = 1
Time = 4580 | serial_in = 0 | Internal stream_in = 00101101 | parity_out = 1
Time = 4590 | serial_in = 1 | Internal stream_in = 00101101 | parity_out = 1
Time = 4595 | serial_in = 1 | Internal stream_in = 00101101 | parity_out = 0
Time = 4600 | serial_in = 0 | Internal stream_in = 00101101 | parity_out = 0
Time = 4610 | serial_in = 0 | Internal stream_in = 00101110 | parity_out = 0
